Year,Crassostrea virginica,Opisthonema oglinum,Opisthonema oglinum2,Pogonias cromis,Callinectes sapidus,Centropomus undecimalis,Mugil cephalus,Menticirrhus littoralis,Scomberomorus cavalla,Scomberomorus cavalla2,Scomberomorus cavalla3,Lutjanus synagris,Lutjanus synagris2,Mugil liza,Lobatus gigas,Lobatus gigas2,Scomberomorus brasiliensis,Cynoscion nebulosus,Centropomus spp,Arca zebra,Micropogonias furnieri,Ocyurus chrysurus,Ocyurus chrysurus2,Ocyurus chrysurus3,Total
2009,36858,1799,6370,21,9275,1530,3580,102,285,3473,3292,36,241,2120,2278,1572,4119,256,62,68500,2660,160,2106,400,151095
2010,46664,1524,3000,23,9138,910,2140,103,802,4720,2194,34,172,1270,256,1575,2792,165,123,40000,1600,172,1227,240,120844
2011,42881,1574,49,93,9505,1187,1699,106,99,4202,4424,30,242,1324,1870,1620,3877,189,77,19770,1498,151,819,422,97708
2012,42487,1636,846,79,8967,1637,1384,238,96,3916,3724,38,200,1547,2187,1575,2686,177,78,12687,1833,147,1780,219,90164
2013,36453,1592,400,77,9795,1900,1390,220,98,3939,2794,46,142,2070,2218,1575,1846,737,57,15000,1570,174,1516,195,85804
2014,37279,1286,17,419,12405,2217,1396,247,94,3659,1860,24,193,2587,1842,1,1641,846,43,17384,1299,168,1466,173,88546
2015,50044,1714,21,107,15126,1442,2000,210,277,6150,1451,2,192,2242,1447,842,1134,1475,2,29073,1109,166,1777,168,118171
2016,44313,1751,155,128,17915,2745,2814,278,288,5517,1382,27,202,2475,1634,800,1975,773,56,29076,2926,166,2433,124,119953
2017,55549,1388,160,119,16790,2830,2900,233,309,6827,1276,181,213,2550,1755,800,1912,1637,230,29970,3015,178,1972,130,132924
2018,49631,1570,160,143,20065,2830,2900,311,275,6179,1227,76,226,2550,1691,800,1918,866,0,29970,3015,172,2725,130,129430
2019,45108,1081,160,153,14438,2830,2900,248,285,5170,1482,103,195,2550,1710,450,2306,930,240.39,29970,3015,170,1953,130,117577.39
